sighting_id,park_code,gbif_id,scientific_name,common_name,taxon_rank,event_date,decimal_latitude,decimal_longitude,basis_of_record,dataset_key,recorded_by,source
GBIF-6188659604,GLAC,6188659604,"Cervus canadensis Erxleben, 1777",,SPECIES,2026-03-31T19:34:41,48.43975,-114.349647,HUMAN_OBSERVATION,50c9509d-22c7-4a22-a47d-8c48425ef4a7,natureenjoyer42,GBIF Occurrence API
GBIF-6234223246,GLAC,6234223246,"Dryocopus pileatus (Linnaeus, 1758)",,SPECIES,2026-03-05T13:39:10,48.421048,-114.33264,HUMAN_OBSERVATION,50c9509d-22c7-4a22-a47d-8c48425ef4a7,Tim Salt,GBIF Occurrence API
GBIF-6235247985,GLAC,6235247985,Gloeophyllum sepiarium (Wulfen) P.Karst.,,SPECIES,2026-03-26T15:01,48.210114,-114.310204,HUMAN_OBSERVATION,50c9509d-22c7-4a22-a47d-8c48425ef4a7,collectorgoblin,GBIF Occurrence API
GBIF-6235831910,GLAC,6235831910,"Larus delawarensis Ord, 1815",,SPECIES,2026-03-19T12:21,48.229527,-114.328598,HUMAN_OBSERVATION,50c9509d-22c7-4a22-a47d-8c48425ef4a7,Branson Zempel,GBIF Occurrence API
GBIF-6251440761,GLAC,6251440761,"Bucephala islandica (J.F.Gmelin, 1789)",,SPECIES,2026-03-22T18:27:03,48.637551,-113.856534,HUMAN_OBSERVATION,50c9509d-22c7-4a22-a47d-8c48425ef4a7,hillary 🧡🤍💖,GBIF Occurrence API
GBIF-6188017711,GLAC,6188017711,"Odocoileus virginianus (Zimmermann, 1780)",,SPECIES,2026-04-06T13:09:59,48.382153,-114.333892,HUMAN_OBSERVATION,50c9509d-22c7-4a22-a47d-8c48425ef4a7,J. Covill,GBIF Occurrence API
GBIF-6188072563,GLAC,6188072563,"Sialia currucoides (Bechstein, 1798)",,SPECIES,2026-04-04T11:13:23,48.582831,-114.15454,HUMAN_OBSERVATION,50c9509d-22c7-4a22-a47d-8c48425ef4a7,Dolan Cotter,GBIF Occurrence API
GBIF-6188116863,GLAC,6188116863,Daphne mezereum L.,,SPECIES,2026-04-04T14:09:31,48.21315,-114.310617,HUMAN_OBSERVATION,50c9509d-22c7-4a22-a47d-8c48425ef4a7,natureenjoyer42,GBIF Occurrence API
GBIF-6188514209,GLAC,6188514209,"Nymphalis californica (Boisduval, 1852)",,SPECIES,2026-04-05T13:48:12,48.523037,-113.988258,HUMAN_OBSERVATION,50c9509d-22c7-4a22-a47d-8c48425ef4a7,cassidyathena,GBIF Occurrence API
GBIF-6188531672,GLAC,6188531672,"Odocoileus hemionus (Rafinesque, 1817)",,SPECIES,2026-04-04T12:27:11,48.599014,-114.166143,HUMAN_OBSERVATION,50c9509d-22c7-4a22-a47d-8c48425ef4a7,Dolan Cotter,GBIF Occurrence API
GBIF-6188568179,GLAC,6188568179,"Spinus pinus (A.Wilson, 1810)",,SPECIES,2026-04-01T16:44:46,48.454353,-114.337862,HUMAN_OBSERVATION,50c9509d-22c7-4a22-a47d-8c48425ef4a7,Marianne Evenhuis,GBIF Occurrence API
GBIF-6188600629,GLAC,6188600629,Verbascum thapsus L.,,SPECIES,2026-04-01T15:47:43,48.609638,-113.882253,HUMAN_OBSERVATION,50c9509d-22c7-4a22-a47d-8c48425ef4a7,natureenjoyer42,GBIF Occurrence API
GBIF-6195440603,GLAC,6195440603,"Nymphalis californica (Boisduval, 1852)",,SPECIES,2026-04-06T14:07:35,48.500305,-113.97888,HUMAN_OBSERVATION,50c9509d-22c7-4a22-a47d-8c48425ef4a7,tabgra,GBIF Occurrence API
GBIF-6195475892,GLAC,6195475892,"Leptoglossus occidentalis Heidemann, 1910",,SPECIES,2026-04-10T20:00:34,48.36477,-114.197167,HUMAN_OBSERVATION,50c9509d-22c7-4a22-a47d-8c48425ef4a7,tabgra,GBIF Occurrence API
GBIF-6195496560,GLAC,6195496560,"Anser caerulescens (Linnaeus, 1758)",,SPECIES,2026-04-06T16:14:52,48.23498,-114.3013,HUMAN_OBSERVATION,50c9509d-22c7-4a22-a47d-8c48425ef4a7,chipbeandip,GBIF Occurrence API
GBIF-6195527697,GLAC,6195527697,"Carabus nemoralis O.F.Müller, 1764",,SPECIES,2026-04-11T14:42:27,48.340522,-114.168428,HUMAN_OBSERVATION,50c9509d-22c7-4a22-a47d-8c48425ef4a7,J. Covill,GBIF Occurrence API
GBIF-6195540329,GLAC,6195540329,"Buteo jamaicensis (Gmelin, 1788)",,SPECIES,2026-04-08T14:44:32,48.239747,-114.279525,HUMAN_OBSERVATION,50c9509d-22c7-4a22-a47d-8c48425ef4a7,Jack Burton,GBIF Occurrence API
GBIF-5938036548,OLYM,5938036548,Icmadophila ericetorum (L.) Zahlbr.,,SPECIES,2026-01-02T13:53:38,47.422453,-123.193856,HUMAN_OBSERVATION,50c9509d-22c7-4a22-a47d-8c48425ef4a7,ArloPelegrin,GBIF Occurrence API
GBIF-5938044034,OLYM,5938044034,"Scyra acutifrons Dana, 1851",,SPECIES,2026-01-02T18:13:58,48.10246,-123.716804,HUMAN_OBSERVATION,50c9509d-22c7-4a22-a47d-8c48425ef4a7,Clara Oliverson,GBIF Occurrence API
GBIF-5938044440,OLYM,5938044440,"Orienthella trilineata (O'Donoghue, 1921)",,SPECIES,2026-01-01T17:57,48.299405,-124.226979,HUMAN_OBSERVATION,50c9509d-22c7-4a22-a47d-8c48425ef4a7,Luan Roberts,GBIF Occurrence API
GBIF-5938044442,OLYM,5938044442,"Orienthella trilineata (O'Donoghue, 1921)",,SPECIES,2026-01-01T17:42:21,48.265356,-124.254661,HUMAN_OBSERVATION,50c9509d-22c7-4a22-a47d-8c48425ef4a7,Luan Roberts,GBIF Occurrence API
GBIF-5938050903,OLYM,5938050903,Arbutus menziesii Pursh,,SPECIES,2026-01-01T12:45:48,48.08706,-123.149014,HUMAN_OBSERVATION,50c9509d-22c7-4a22-a47d-8c48425ef4a7,Cynthia Bardouka-Large,GBIF Occurrence API
GBIF-5938068884,OLYM,5938068884,"Bucephala albeola (Linnaeus, 1758)",,SPECIES,2026-01-02T12:34:58,47.383995,-123.070952,HUMAN_OBSERVATION,50c9509d-22c7-4a22-a47d-8c48425ef4a7,greasedrat,GBIF Occurrence API
GBIF-5938071118,OLYM,5938071118,"Fissurellidea bimaculata Dall, 1871",,SPECIES,2026-01-01T17:02:05,48.216888,-124.220131,HUMAN_OBSERVATION,50c9509d-22c7-4a22-a47d-8c48425ef4a7,Luan Roberts,GBIF Occurrence API
GBIF-5938087922,OLYM,5938087922,Pilophorus acicularis (Ach.) Th.Fr.,,SPECIES,2026-01-04T10:10:40,48.047122,-123.417908,HUMAN_OBSERVATION,50c9509d-22c7-4a22-a47d-8c48425ef4a7,madisonchurchill,GBIF Occurrence API
GBIF-5938102327,OLYM,5938102327,"Diaulula odonoghuei (Steinberg, 1963)",,SPECIES,2026-01-01T17:36:18,48.383565,-124.348295,HUMAN_OBSERVATION,50c9509d-22c7-4a22-a47d-8c48425ef4a7,Luan Roberts,GBIF Occurrence API
GBIF-5938109494,OLYM,5938109494,"Orienthella trilineata (O'Donoghue, 1921)",,SPECIES,2026-01-01T17:52:25,48.212065,-124.337582,HUMAN_OBSERVATION,50c9509d-22c7-4a22-a47d-8c48425ef4a7,Luan Roberts,GBIF Occurrence API
GBIF-5938118122,OLYM,5938118122,Linnaea borealis L.,,SPECIES,2026-01-02T13:41:28,47.416499,-123.192306,HUMAN_OBSERVATION,50c9509d-22c7-4a22-a47d-8c48425ef4a7,ArloPelegrin,GBIF Occurrence API
GBIF-5938118631,OLYM,5938118631,Goodyera oblongifolia Raf.,,SPECIES,2026-01-03T13:00:36,47.610193,-124.372969,HUMAN_OBSERVATION,50c9509d-22c7-4a22-a47d-8c48425ef4a7,aspiers,GBIF Occurrence API
GBIF-5938126535,OLYM,5938126535,Fomitopsis mounceae Haight & Nakasone,,SPECIES,2026-01-03T13:26,48.068404,-122.946804,HUMAN_OBSERVATION,50c9509d-22c7-4a22-a47d-8c48425ef4a7,jerryn,GBIF Occurrence API
GBIF-5938132040,OLYM,5938132040,"Orienthella trilineata (O'Donoghue, 1921)",,SPECIES,2026-01-01T17:30:06,48.253137,-124.342228,HUMAN_OBSERVATION,50c9509d-22c7-4a22-a47d-8c48425ef4a7,Luan Roberts,GBIF Occurrence API
GBIF-5938141486,OLYM,5938141486,"Oedignathus inermis (Stimpson, 1860)",,SPECIES,2026-01-03T18:37:42,48.315212,-124.393365,HUMAN_OBSERVATION,50c9509d-22c7-4a22-a47d-8c48425ef4a7,Clara Oliverson,GBIF Occurrence API
GBIF-5938141487,OLYM,5938141487,Lobaria pulmonaria (L.) Hoffm.,,SPECIES,2026-01-03T10:19:45,48.064411,-123.42543,HUMAN_OBSERVATION,50c9509d-22c7-4a22-a47d-8c48425ef4a7,madisonchurchill,GBIF Occurrence API
