sighting_id,park_id,park_name,state,species_id,common_name,scientific_name,category,event_date,year,month,season,time_of_day,decimal_latitude,decimal_longitude,coordinate_uncertainty,temperature_max,temperature_min,temperature_avg,precipitation,snowfall,wind_speed,recreation_visits,crowd_level,basis_of_record,location_filter_method,data_quality_flag,source,weather_joined,visitation_joined,search_result_count,official_source_count,area_context_count,season_context_count,time_context_count,avg_serp_confidence_score,top_mentioned_area,top_mentioned_season,top_mentioned_time_of_day,has_official_context,has_recent_context
GBIF-5215681819_park_yell,park_yell,Yellowstone National Park,WY/MT/ID,species_grizzly_bear,Grizzly Bear,"Ursus arctos horribilis Ord, 1815",Mammal,2025-06-10,2025.0,6.0,summer,morning,44.961691,-110.200871,27253.0,,,,,,,928250.0,high,HUMAN_OBSERVATION,bounding_box,coordinate_uncertain,GBIF Occurrence API,False,True,0,0,0,0,0,0.0,unknown,unknown,unknown,False,False
GBIF-5215842116_park_yell,park_yell,Yellowstone National Park,WY/MT/ID,species_grizzly_bear,Grizzly Bear,"Ursus arctos horribilis Ord, 1815",Mammal,2025-06-21,2025.0,6.0,summer,early_morning,44.52062,-110.298261,27317.0,,,,,,,928250.0,high,HUMAN_OBSERVATION,bounding_box,coordinate_uncertain,GBIF Occurrence API,False,True,0,0,0,0,0,0.0,unknown,unknown,unknown,False,False
GBIF-5215868437_park_yell,park_yell,Yellowstone National Park,WY/MT/ID,species_grizzly_bear,Grizzly Bear,"Ursus arctos horribilis Ord, 1815",Mammal,2025-06-22,2025.0,6.0,summer,morning,44.680608,-110.578648,27285.0,,,,,,,928250.0,high,HUMAN_OBSERVATION,bounding_box,coordinate_uncertain,GBIF Occurrence API,False,True,0,0,0,0,0,0.0,unknown,unknown,unknown,False,False
GBIF-5216062144_park_yell,park_yell,Yellowstone National Park,WY/MT/ID,species_grizzly_bear,Grizzly Bear,"Ursus arctos horribilis Ord, 1815",Mammal,2025-06-23,2025.0,6.0,summer,afternoon,44.743168,-110.648353,30859.0,,,,,,,928250.0,high,HUMAN_OBSERVATION,bounding_box,coordinate_uncertain,GBIF Occurrence API,False,True,0,0,0,0,0,0.0,unknown,unknown,unknown,False,False
GBIF-5216297737_park_yell,park_yell,Yellowstone National Park,WY/MT/ID,species_grizzly_bear,Grizzly Bear,"Ursus arctos horribilis Ord, 1815",Mammal,2025-06-22,2025.0,6.0,summer,morning,44.416595,-110.478808,71330.0,,,,,,,928250.0,high,HUMAN_OBSERVATION,bounding_box,coordinate_uncertain,GBIF Occurrence API,False,True,0,0,0,0,0,0.0,unknown,unknown,unknown,False,False
GBIF-5216515136_park_yell,park_yell,Yellowstone National Park,WY/MT/ID,species_grizzly_bear,Grizzly Bear,"Ursus arctos horribilis Ord, 1815",Mammal,2025-06-23,2025.0,6.0,summer,afternoon,44.715208,-110.760765,39988.0,,,,,,,928250.0,high,HUMAN_OBSERVATION,bounding_box,coordinate_uncertain,GBIF Occurrence API,False,True,0,0,0,0,0,0.0,unknown,unknown,unknown,False,False
GBIF-5216565059_park_yell,park_yell,Yellowstone National Park,WY/MT/ID,species_grizzly_bear,Grizzly Bear,"Ursus arctos horribilis Ord, 1815",Mammal,2025-06-30,2025.0,6.0,summer,early_morning,44.984485,-110.358132,27253.0,,,,,,,928250.0,high,HUMAN_OBSERVATION,bounding_box,coordinate_uncertain,GBIF Occurrence API,False,True,0,0,0,0,0,0.0,unknown,unknown,unknown,False,False
GBIF-5216665896_park_yell,park_yell,Yellowstone National Park,WY/MT/ID,species_grizzly_bear,Grizzly Bear,"Ursus arctos horribilis Ord, 1815",Mammal,2025-06-29,2025.0,6.0,summer,afternoon,44.691496,-110.573947,27285.0,,,,,,,928250.0,high,HUMAN_OBSERVATION,bounding_box,coordinate_uncertain,GBIF Occurrence API,False,True,0,0,0,0,0,0.0,unknown,unknown,unknown,False,False
GBIF-5216801905_park_yell,park_yell,Yellowstone National Park,WY/MT/ID,species_grizzly_bear,Grizzly Bear,"Ursus arctos horribilis Ord, 1815",Mammal,2025-06-29,2025.0,6.0,summer,afternoon,44.628999,-110.433284,27285.0,,,,,,,928250.0,high,HUMAN_OBSERVATION,bounding_box,coordinate_uncertain,GBIF Occurrence API,False,True,0,0,0,0,0,0.0,unknown,unknown,unknown,False,False
GBIF-5216804270_park_yell,park_yell,Yellowstone National Park,WY/MT/ID,species_grizzly_bear,Grizzly Bear,"Ursus arctos horribilis Ord, 1815",Mammal,2025-06-20,2025.0,6.0,summer,morning,44.50589,-109.951294,27317.0,,,,,,,928250.0,high,HUMAN_OBSERVATION,bounding_box,coordinate_uncertain,GBIF Occurrence API,False,True,0,0,0,0,0,0.0,unknown,unknown,unknown,False,False
