sighting_id,occurrence_id,park_id,species_id,scientific_name,common_name,event_date,year,month,season,time_of_day,decimal_latitude,decimal_longitude,coordinate_uncertainty,basis_of_record,location_filter_method,source,license,data_quality_flag
GBIF-5216565059_park_yell,GBIF-5216565059,park_yell,species_grizzly_bear,"Ursus arctos horribilis Ord, 1815",Grizzly Bear,2025-06-30,2025.0,6.0,summer,early_morning,44.984485,-110.358132,27253.0,HUMAN_OBSERVATION,bounding_box,GBIF Occurrence API,http://creativecommons.org/licenses/by-nc/4.0/legalcode,coordinate_uncertain
GBIF-5216665896_park_yell,GBIF-5216665896,park_yell,species_grizzly_bear,"Ursus arctos horribilis Ord, 1815",Grizzly Bear,2025-06-29,2025.0,6.0,summer,afternoon,44.691496,-110.573947,27285.0,HUMAN_OBSERVATION,bounding_box,GBIF Occurrence API,http://creativecommons.org/licenses/by-nc/4.0/legalcode,coordinate_uncertain
GBIF-5216801905_park_yell,GBIF-5216801905,park_yell,species_grizzly_bear,"Ursus arctos horribilis Ord, 1815",Grizzly Bear,2025-06-29,2025.0,6.0,summer,afternoon,44.628999,-110.433284,27285.0,HUMAN_OBSERVATION,bounding_box,GBIF Occurrence API,http://creativecommons.org/licenses/by-nc/4.0/legalcode,coordinate_uncertain
GBIF-5216804270_park_yell,GBIF-5216804270,park_yell,species_grizzly_bear,"Ursus arctos horribilis Ord, 1815",Grizzly Bear,2025-06-20,2025.0,6.0,summer,morning,44.50589,-109.951294,27317.0,HUMAN_OBSERVATION,bounding_box,GBIF Occurrence API,http://creativecommons.org/licenses/by-nc/4.0/legalcode,coordinate_uncertain
GBIF-5216954886_park_yell,GBIF-5216954886,park_yell,species_grizzly_bear,"Ursus arctos horribilis Ord, 1815",Grizzly Bear,2025-06-29,2025.0,6.0,summer,afternoon,44.705493,-110.579901,27285.0,HUMAN_OBSERVATION,bounding_box,GBIF Occurrence API,http://creativecommons.org/licenses/by-nc/4.0/legalcode,coordinate_uncertain
GBIF-5217048872_park_yell,GBIF-5217048872,park_yell,species_grizzly_bear,"Ursus arctos horribilis Ord, 1815",Grizzly Bear,2025-06-29,2025.0,6.0,summer,afternoon,44.771928,-110.44007,27285.0,HUMAN_OBSERVATION,bounding_box,GBIF Occurrence API,http://creativecommons.org/licenses/by-nc/4.0/legalcode,coordinate_uncertain
GBIF-5217246030_park_yell,GBIF-5217246030,park_yell,species_grizzly_bear,"Ursus arctos horribilis Ord, 1815",Grizzly Bear,2025-06-29,2025.0,6.0,summer,afternoon,44.649139,-110.62648,27285.0,HUMAN_OBSERVATION,bounding_box,GBIF Occurrence API,http://creativecommons.org/licenses/by-nc/4.0/legalcode,coordinate_uncertain
GBIF-5217332464_park_yell,GBIF-5217332464,park_yell,species_grizzly_bear,"Ursus arctos horribilis Ord, 1815",Grizzly Bear,2025-06-20,2025.0,6.0,summer,night,44.906338,-110.058684,27253.0,HUMAN_OBSERVATION,bounding_box,GBIF Occurrence API,http://creativecommons.org/licenses/by-nc/4.0/legalcode,coordinate_uncertain
GBIF-5217434082_park_yell,GBIF-5217434082,park_yell,species_grizzly_bear,"Ursus arctos horribilis Ord, 1815",Grizzly Bear,2025-06-30,2025.0,6.0,summer,early_morning,44.892861,-110.348411,27253.0,HUMAN_OBSERVATION,bounding_box,GBIF Occurrence API,http://creativecommons.org/licenses/by-nc/4.0/legalcode,coordinate_uncertain
GBIF-5230969165_park_yell,GBIF-5230969165,park_yell,species_grizzly_bear,"Ursus arctos horribilis Ord, 1815",Grizzly Bear,2025-06-28,2025.0,6.0,summer,morning,44.423556,-110.873469,27317.0,HUMAN_OBSERVATION,bounding_box,GBIF Occurrence API,http://creativecommons.org/licenses/by/4.0/legalcode,coordinate_uncertain
GBIF-5231581077_park_yell,GBIF-5231581077,park_yell,species_grizzly_bear,"Ursus arctos horribilis Ord, 1815",Grizzly Bear,2025-06-29,2025.0,6.0,summer,early_morning,44.828319,-110.397713,27253.0,HUMAN_OBSERVATION,bounding_box,GBIF Occurrence API,http://creativecommons.org/licenses/by-nc/4.0/legalcode,coordinate_uncertain
GBIF-5761074001_park_yell,GBIF-5761074001,park_yell,species_grizzly_bear,"Ursus arctos horribilis Ord, 1815",Grizzly Bear,2025-06-06,2025.0,6.0,summer,afternoon,44.805791,-110.625086,27253.0,HUMAN_OBSERVATION,bounding_box,GBIF Occurrence API,http://creativecommons.org/licenses/by-nc/4.0/legalcode,coordinate_uncertain
GBIF-5892567317_park_yell,GBIF-5892567317,park_yell,species_grizzly_bear,"Ursus arctos horribilis Ord, 1815",Grizzly Bear,2025-06-22,2025.0,6.0,summer,early_morning,44.43305,-110.205914,27317.0,HUMAN_OBSERVATION,bounding_box,GBIF Occurrence API,http://creativecommons.org/licenses/by-nc/4.0/legalcode,coordinate_uncertain
GBIF-6171360866_park_yell,GBIF-6171360866,park_yell,species_grizzly_bear,"Ursus arctos horribilis Ord, 1815",Grizzly Bear,2025-06-13,2025.0,6.0,summer,afternoon,44.808643,-109.892499,27253.0,HUMAN_OBSERVATION,bounding_box,GBIF Occurrence API,http://creativecommons.org/licenses/by-nc/4.0/legalcode,coordinate_uncertain
GBIF-6184792439_park_yell,GBIF-6184792439,park_yell,species_black_bear,"Ursus americanus Pallas, 1780",Black Bear,2026-03-28,2026.0,3.0,spring,afternoon,44.979969,-110.439797,27253.0,HUMAN_OBSERVATION,bounding_box,GBIF Occurrence API,http://creativecommons.org/licenses/by-nc/4.0/legalcode,coordinate_uncertain
GBIF-6273523576_park_yell,GBIF-6273523576,park_yell,species_black_bear,"Ursus americanus Pallas, 1780",Black Bear,2026-05-05,2026.0,5.0,spring,afternoon,44.912947,-110.390707,,HUMAN_OBSERVATION,bounding_box,GBIF Occurrence API,http://creativecommons.org/licenses/by-nc/4.0/legalcode,bounding_box_only
GBIF-6274002948_park_yell,GBIF-6274002948,park_yell,species_black_bear,"Ursus americanus Pallas, 1780",Black Bear,2026-05-05,2026.0,5.0,spring,afternoon,44.963081,-110.709062,,HUMAN_OBSERVATION,bounding_box,GBIF Occurrence API,http://creativecommons.org/licenses/by-nc/4.0/legalcode,bounding_box_only
GBIF-6320528060_park_yell,GBIF-6320528060,park_yell,species_black_bear,"Ursus americanus Pallas, 1780",Black Bear,2026-05-07,2026.0,5.0,spring,morning,44.928808,-110.444797,,HUMAN_OBSERVATION,bounding_box,GBIF Occurrence API,http://creativecommons.org/licenses/by-nc/4.0/legalcode,bounding_box_only
